d1,d2,d3,d4,d5
-678530,464030,866706,539065,662027
-329750,-802524,830241,-674535,485902
-183036,-55530,-465256,881663,-648160
670574,98873,-90599,214190,-663676
993410,-642594,-779829,477390,-119436
700117,661519,881402,872757,67516
748247,-522488,-47418,-901143,-617045
-118462,175546,-979264,218126,804756
-153122,319714,-264527,148432,23895
880658,-862014,729511,337962,-273627
-269695,-724086,121954,538423,78467
539207,-163384,-236011,-813581,-950011
1040805,399903,130463,-833166,-1017488
-682812,-813715,-543095,874092,149232
-398281,-524868,636269,779188,661242
657185,951466,933071,879966,-883394
531581,986882,628979,-759890,-130038
593,1010292,-16426,-320446,995378
-898489,-268011,-57567,7925,246976
-729727,-177254,-990919,-238237,-1006602
-438392,462946,-707850,-570213,147183
-943328,361797,752200,810438,-1019410
485779,-238138,619470,597758,-470183
857689,-723926,-623731,735578,294332
269537,559514,-754042,-350185,796975
-2175,271611,572021,241478,849638
-2544,-700882,665656,141432,-925119
467884,475834,-584864,2340,629582
91608,-351297,-249216,-198198,728135
538566,533614,719704,-249073,709304
-170666,641119,137253,743852,527505
75185,-751611,-563503,-24783,515409
276413,-759463,-495791,-896800,-538157
-402617,-401069,-11335,-277460,610146
858006,-290314,-367023,676804,652592
-646573,586127,707376,-805610,-624325
220618,-486019,-258675,-494859,266956
659713,678414,1002363,-724384,-294439
-788235,-943093,-177211,-815383,928578
-413275,365252,-913727,800503,911111
-156804,43,588459,-86597,1038172
-82882,-312679,192852,53896,-605733
663304,556791,-840711,757735,-491682
192120,-941176,616687,-498206,922335
273145,685182,-216219,-780543,-710686
-974873,-997893,507808,618386,1020132
902357,-37358,1042671,-864307,-133343
-141077,-112511,439517,984829,282984
-176709,1028264,-1017467,306186,-590284
-886888,-770226,-870400,-917686,-140215
-669891,-676420,-844202,-283723,1013897
-100640,1036157,632055,691696,649081
-835600,69986,646297,57930,-362735
306614,-670679,161437,345458,219064
-214055,-449701,592293,-882576,-742382
454492,572375,830865,-253164,-765165
-118761,-574059,-465133,608913,30427
-292566,-359454,-312139,496109,215087
-930787,285748,-608381,-1009915,772220
-720337,431883,310816,-683824,716584
104177,722136,-97712,246923,-101786
-760115,-758975,174162,-749832,-297784
-676408,900220,-887214,-1037550,-12352
878341,-50105,773538,-492931,869176
482957,-550988,86175,-63878,-554899
66203,733996,609458,62250,69791
357684,-674790,-991624,-964737,30104
1004388,-369465,32282,1025248,142294
79974,-878872,1033342,-809749,-928784
-590087,-757000,-292855,369022,-806997
724638,984324,923938,593093,-495919
769562,-666935,521515,-934537,-738562
244222,-915325,873043,-228794,-782606
323522,833950,-458503,440631,-734128
409159,759971,-337304,-941224,302073
795287,-251312,-399236,718151,963744
210356,-195196,218004,-344314,741952
-942368,-804777,654926,-258202,-389980
-560927,-569768,20015,310936,1036882
-1027720,-875868,855254,9916,813468
-522015,554314,-602547,197493,378174
706885,228210,40531,839857,-897371
-215097,974430,959627,784176,-657079
1037081,584921,88132,-351040,-402609
509449,949034,-368500,-817486,820293
717616,951564,534650,-520851,201430
-398085,902465,932421,-15564,925694
496472,-458296,-446724,-604275,886165
285785,-462682,-497917,108333,-979970
-1029347,-370479,637933,451385,-157813
-37099,571105,517964,960813,897400
366487,-355672,457565,872077,-301842
244278,231371,163474,-338374,1025208
931229,-285751,-421516,-10679,582246
378399,-608468,244091,274931,-1009442
-539278,-614872,-1028640,-465451,-145395
293267,705257,427263,894371,644049
702762,-435207,-282863,335675,912343
511677,-443611,124093,-414923,983322
-745606,733040,-793098,675315,235561
688432,441899,-367804,631238,-754244
-679208,186670,-437612,-243021,-604476
-534513,-113712,-215745,365770,538524
470485,-506124,-194043,22542,-325637
-10984,-263898,27367,1038818,-596755
-204636,-224477,-216167,666534,-848461
-713113,-422113,-977223,213966,1007989
881083,962456,-711292,-509161,-722423
121464,-1020425,-776962,732731,-740584
-971619,-159667,747085,-475084,950020
1024323,184258,-219297,-880451,271401
365642,-114128,-724657,-319729,975830
198496,333411,117848,273966,-375293
-583195,-600202,-34272,-636967,1015956
-87440,443837,381819,613957,317167
47337,489817,-962708,-470361,-767128
-825284,1046807,87780,853033,-125089
-475163,250920,-335706,-41198,215981
1039917,-491574,338519,442231,220635
-553755,999578,735557,-542461,-825474
387728,849702,-402559,964532,-217625
-80179,-868589,400150,419842,-551335
-477229,638699,861120,326026,999945
-689769,724729,-63244,402959,-173680
-459768,769438,912153,-225065,-154851
89552,977993,-551085,-921608,-398188
-49671,-5397,1010131,-142835,1014653
697224,887298,1014217,849610,-262044
-311070,872162,195986,-463871,829283
929398,912108,-899625,66425,532737
797772,-306530,795826,396918,-514261
-492610,430635,-576319,-617878,365753
144773,868841,-899349,324265,242797
255010,409501,1029111,420759,303171
-1026488,41004,-917920,-287154,-1037357
